year,data_year,list,rank,company,status,prior_year_closings,prior_year_gross_revenue,prior_year_rank,firm_url
2004,2003,top100,0,Gateway Homes,,0,$0,N/A,https://www.builderonline.com/firms/gateway-homes
2004,2003,top100,0,Frontiers Community Builders,,0,$0,N/A,https://www.builderonline.com/firms/frontiers-community-builders
2004,2003,top100,1,D.R. Horton,p,"37,662","$9,188",1,https://www.builderonline.com/firms/dr-horton
2004,2003,top100,2,Pulte Homes,p,"32,693","$9,000",2,https://www.builderonline.com/firms/pulte-homes
2004,2003,top100,3,Lennar Corp.,,"32,180","$8,908",3,https://www.builderonline.com/firms/lennar-corp
2004,2003,top100,4,Centex Corp.,p,"29,858","$10,810",4,https://www.builderonline.com/firms/centex-corp
2004,2003,top100,5,KB Home,p,"23,407","$5,850",5,https://www.builderonline.com/firms/kb-home
2004,2003,top100,6,Beazer Homes,p,"15,535","$3,287",6,https://www.builderonline.com/firms/beazer-homes-usa
2004,2003,top100,7,The Ryland Group,p,"14,724","$3,444",7,https://www.builderonline.com/firms/the-ryland-group
2004,2003,top100,8,NVR,p,"12,050","$3,687",8,https://www.builderonline.com/firms/nvr
2004,2003,top100,9,Hovnanian Enterprises,p,"11,531","$3,202",9,https://www.builderonline.com/firms/hovnanian-enterprises
2004,2003,top100,10,M.D.C. Holdings,p,"11,211","$2,920",10,https://www.builderonline.com/firms/mdc-holdings
2004,2003,top100,11,Standard Pacific Corp.,p,"8,213","$2,707",11,https://www.builderonline.com/firms/standard-pacific-corp
2004,2003,top100,12,Technical Olympic USA,p,"6,135","$1,688",13,https://www.builderonline.com/firms/technical-olympic-usa
2004,2003,top100,13,Shea Homes,,"5,878","$2,381",12,https://www.builderonline.com/firms/shea-homes
2004,2003,top100,14,Meritage Corp.,p,"5,642","$1,471",14,https://www.builderonline.com/firms/meritage-corp
2004,2003,top100,15,Toll Brothers,p,"4,911","$2,775",15,https://www.builderonline.com/firms/toll-brothers
2004,2003,top100,16,Weyerhaeuser Real Estate Co.,p,"4,626","$2,019",17,https://www.builderonline.com/firms/weyerhaeuser-real-estate-co
2004,2003,top100,17,Habitat for Humanity International,,"4,532",$158,16,https://www.builderonline.com/firms/habitat-for-humanity-international
2004,2003,top100,18,Choice Homes,,"4,394",$541,20,https://www.builderonline.com/firms/choice-homes
2004,2003,top100,19,M/I Homes,p,"4,148","$1,075",19,https://www.builderonline.com/firms/m-i-homes
2004,2003,top100,20,Mercedes Homes,,"4,101",$810,24,https://www.builderonline.com/firms/mercedes-homes
2004,2003,top100,21,Kimball Hill Homes,,"3,678",$863,21,https://www.builderonline.com/firms/kimball-hill-homes
2004,2003,top100,22,Morrison Homes,p,"3,667",$998,22,https://www.builderonline.com/firms/morrison-homes
2004,2003,top100,23,2004 David Weekley Homes,,"3,549",$949,23,https://www.builderonline.com/builder-100-listing/2004-david-weekley-homes/
2004,2003,top100,24,Jim Walter Homes,p,"3,523",$277,18,https://www.builderonline.com/firms/jim-walter-homes
2004,2003,top100,25,The Villages of Lake Sumter,,"3,329",$668,31,https://www.builderonline.com/firms/the-villages-of-lake-sumter
2004,2003,top100,26,MHI,,"3,165",$631,26,https://www.builderonline.com/firms/mhi
2004,2003,top100,27,Dominion Homes,p,"3,070",$563,27,https://www.builderonline.com/firms/dominion-homes
2004,2003,top100,28,Woodside Group,,"2,924",$845,29,https://www.builderonline.com/firms/woodside-group
2004,2003,top100,29,Drees Homes,,"2,914",$914,25,https://www.builderonline.com/firms/drees-homes
2004,2003,top100,30,William Lyon Homes,p,"2,804","$1,215",28,https://www.builderonline.com/firms/william-lyon-homes
2004,2003,top100,31,Holiday Builders,,"2,750",$336,33,https://www.builderonline.com/firms/holiday-builders
2004,2003,top100,32,C.P. Morgan,,"2,414",$326,32,https://www.builderonline.com/firms/cp-morgan
2004,2003,top100,33,Pasquinelli Construction Co.,,"2,361",$429,35,https://www.builderonline.com/firms/pasquinelli-construction-co
2004,2003,top100,34,Highland Homes,,"2,359",$565,34,https://www.builderonline.com/firms/highland-homes
2004,2003,top100,36,American West Homes,,"2,336",$577,30,https://www.builderonline.com/firms/american-west-homes
2004,2003,top100,37,WCI Communities,p,"2,119","$1,452",39,https://www.builderonline.com/firms/wci-communities
2004,2003,top100,38,Transeastern Properties,,"1,847",$413,56,https://www.builderonline.com/firms/transeastern-properties
2004,2003,top100,39,WL Homes,,"1,806",$744,38,https://www.builderonline.com/firms/wl-homes
2004,2003,top100,40,GL Homes of Florida,,"1,795",$681,49,https://www.builderonline.com/firms/gl-homes-of-florida
2004,2003,top100,41,MDC Homes,,"1,694",$348,47,https://www.builderonline.com/firms/mdc-homes
2004,2003,top100,42,Taylor Woodrow Homes,p,"1,629","$1,133",77,https://www.builderonline.com/firms/taylor-woodrow-homes
2004,2003,top100,44,John Wieland Homes and Neighborhoods,,"1,608",$606,45,https://www.builderonline.com/firms/john-wieland-homes-and-neighborhoods
2004,2003,top100,45,Royce Homes,,"1,605",$383,41,https://www.builderonline.com/firms/royce-homes
2004,2003,top100,46,The Rottlund Co.,,"1,546",$343,40,https://www.builderonline.com/firms/the-rottlund-co
2004,2003,top100,47,Brookfield Homes Corp.,p,"1,528","$1,023",42,https://www.builderonline.com/firms/brookfield-homes-corp
2004,2003,top100,48,Robson Resort Communities,,"1,463",$416,44,https://www.builderonline.com/firms/robson-resort-communities
2004,2003,top100,49,Orleans Homebuilders,p,"1,424",$434,52,https://www.builderonline.com/firms/orleans-homebuilders
2004,2003,top100,50,Ashton Woods Homes,,"1,414",$585,54,https://www.builderonline.com/firms/ashton-woods-homes
2004,2003,top100,51,McBride & Son Enterprises,,"1,411",$365,58,https://www.builderonline.com/firms/mcbride-son-enterprises
2004,2003,top100,52,Town & Country Homes,,"1,400",$330,50,https://www.builderonline.com/firms/town-country-homes
2004,2003,top100,52,Fulton Homes,,"1,400",$321,48,https://www.builderonline.com/firms/fulton-homes
2004,2003,top100,54,Neumann Homes,,"1,344",$356,55,https://www.builderonline.com/firms/neumann-homes
2004,2003,top100,56,Bowen Family Homes,,"1,328",$223,68,https://www.builderonline.com/firms/bowen-family-homes
2004,2003,top100,58,ALH II,,"1,274",$179,51,https://www.builderonline.com/firms/alh-ii
2004,2003,top100,59,St. Joe Co.,p,"1,241",$761,N/A,https://www.builderonline.com/firms/st-joe-co
2004,2003,top100,60,Trend Homes,,"1,233",$189,67,https://www.builderonline.com/firms/trend-homes
2004,2003,top100,61,The Corky McMillin Cos.,,"1,225",$558,65,https://www.builderonline.com/firms/the-corky-mcmillin-cos
2004,2003,top100,62,Avatar Holdings,p,"1,193",$253,71,https://www.builderonline.com/firms/avatar-holdings
2004,2003,top100,64,California Homes,,"1,167",$340,79,https://www.builderonline.com/firms/california-homes
2004,2003,top100,67,Lakewood Homes,,"1,059",$266,53,https://www.builderonline.com/firms/lakewood-homes
