Date,Serving President,Serving President Party,Elected President,Elected President Party
1/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
2/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
3/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
4/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
5/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
6/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
7/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
8/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
9/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
10/1/1980,Jimmy Carter,Democrat,Jimmy Carter,Democrat
11/1/1980,Jimmy Carter,Democrat,Ronald Reagan,Republican
12/1/1980,Jimmy Carter,Democrat,Ronald Reagan,Republican
1/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
12/1/1981,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
12/1/1982,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
12/1/1983,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
12/1/1984,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
12/1/1985,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
12/1/1986,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
12/1/1987,Ronald Reagan,Republican,Ronald Reagan,Republican
1/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
2/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
3/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
4/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
5/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
6/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
7/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
8/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
9/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
10/1/1988,Ronald Reagan,Republican,Ronald Reagan,Republican
11/1/1988,Ronald Reagan,Republican,George H.W. Bush,Republican
12/1/1988,Ronald Reagan,Republican,George H.W. Bush,Republican
1/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
2/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
3/1/1989,George H.W. Bush,Republican,George H.W. Bush,Republican
