Table 1.1.4. Price Indexes for Gross Domestic Product
Table 1.1.4. Price Indexes for Gross Domestic Product
"Last Revised on: October 26, 2023 - Next Release Date November 29, 2023"
Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
1,"        Gross domestic product",11.148,11.300,11.478,11.714,11.849,11.989,12.198,12.193,12.153,12.078,11.991,11.988,11.954,12.004,12.254,12.450,12.871,12.945,12.987,13.158,13.175,13.225,13.325,13.372,13.385,13.417,13.467,13.507,13.564,13.589,13.577,13.595,13.646,13.722,13.816,13.908,14.045,14.177,14.334,14.422,14.587,14.690,14.803,14.890,15.015,15.079,15.115,15.134,15.205,15.249,15.314,15.373,15.402,15.457,15.524,15.592,15.610,15.641,15.674,15.710,15.788,15.831,15.869,15.907,15.985,15.999,16.016,16.121,16.182,16.229,16.309,16.378,16.450,16.527,16.602,16.711,16.813,16.965,17.114,17.254,17.326,17.430,17.587,17.781,17.975,18.177,18.351,18.607,18.793,19.041,19.312,19.554,19.823,20.109,20.274,20.539,20.850,21.130,21.343,21.520,21.865,21.999,22.198,22.450,22.735,23.111,23.553,23.961,24.446,24.989,25.759,26.541,27.141,27.534,28.021,28.489,28.800,29.088,29.459,29.960,30.443,30.925,31.351,31.875,32.397,33.043,33.626,34.291,34.931,35.775,36.522,37.188,38.001,38.903,39.770,40.825,41.907,42.694,43.524,44.243,44.877,45.473,46.104,46.571,46.943,47.291,47.794,48.151,48.626,49.063,49.506,49.852,50.363,50.660,50.997,51.262,51.515,51.695,51.941,52.250,52.554,52.911,53.320,53.720,54.135,54.676,55.345,55.854,56.392,57.002,57.425,57.817,58.447,59.101,59.612,60.067,60.651,61.088,61.557,61.915,62.162,62.533,62.833,63.275,63.652,64.027,64.349,64.727,65.058,65.369,65.717,66.083,66.460,66.785,67.084,67.401,67.712,67.988,68.318,68.607,68.915,69.258,69.464,69.713,69.783,69.964,70.235,70.424,70.615,70.934,71.207,71.581,72.058,72.491,72.945,73.341,73.843,74.335,74.560,74.801,74.998,75.295,75.633,76.073,76.482,76.746,77.185,77.633,78.191,78.825,79.323,79.936,80.550,81.137,81.905,82.557,83.135,83.871,84.486,84.806,85.655,86.201,86.568,86.982,87.359,87.678,88.361,88.511,88.536,88.418,88.474,88.798,89.018,89.431,89.755,90.270,90.710,91.363,91.840,91.951,92.495,92.881,93.459,93.869,94.204,94.474,94.989,95.477,95.840,96.343,96.762,96.800,96.742,97.302,97.536,97.527,97.468,98.108,98.372,98.884,99.389,99.656,100.174,100.780,101.428,102.140,102.586,103.005,103.375,103.878,104.213,104.566,105.042,104.661,105.593,106.330,107.731,109.332,110.957,112.858,115.182,117.704,118.980,120.115,121.264,121.789,122.846
2,Personal consumption expenditures,11.557,11.649,11.866,12.162,12.297,12.424,12.614,12.574,12.475,12.399,12.327,12.317,12.297,12.356,12.614,12.839,13.247,13.353,13.371,13.548,13.606,13.603,13.692,13.715,13.766,13.786,13.861,13.921,13.991,13.972,13.926,13.912,13.957,13.971,14.026,14.064,14.122,14.217,14.356,14.440,14.570,14.662,14.781,14.858,15.041,15.069,15.080,15.074,15.177,15.239,15.331,15.415,15.435,15.515,15.574,15.642,15.671,15.670,15.726,15.743,15.811,15.867,15.910,15.958,16.004,16.029,16.107,16.166,16.243,16.278,16.331,16.385,16.438,16.522,16.583,16.634,16.763,16.899,17.028,17.160,17.209,17.291,17.452,17.602,17.789,17.971,18.157,18.358,18.536,18.772,19.002,19.221,19.444,19.659,19.851,20.108,20.299,20.530,20.732,20.860,21.080,21.202,21.388,21.562,21.823,22.242,22.647,23.110,23.798,24.472,25.132,25.771,26.256,26.578,27.076,27.530,27.833,28.066,28.492,28.942,29.465,29.969,30.420,30.852,31.358,32.002,32.564,33.179,33.804,34.728,35.590,36.451,37.545,38.464,39.364,40.338,41.384,42.078,42.772,43.427,43.979,44.402,45.103,45.601,45.978,46.398,47.008,47.318,47.830,48.293,48.666,48.966,49.544,49.945,50.337,50.688,51.047,50.993,51.263,51.573,52.061,52.564,53.062,53.520,53.943,54.539,55.211,55.769,56.410,57.170,57.507,57.959,58.799,59.333,60.087,60.882,61.202,61.536,61.954,62.404,62.795,63.212,63.615,64.059,64.441,64.874,65.155,65.531,65.766,66.133,66.607,66.920,67.247,67.639,67.915,68.214,68.593,69.052,69.346,69.819,70.127,70.303,70.488,70.710,70.715,70.843,71.062,71.249,71.390,71.796,72.191,72.629,73.219,73.568,74.042,74.460,75.012,75.363,75.401,75.432,75.584,76.145,76.539,76.896,77.484,77.562,78.073,78.457,79.062,79.594,79.985,80.669,81.138,81.650,82.532,83.189,83.621,84.355,84.962,84.822,85.597,86.324,86.812,87.694,88.408,89.269,90.221,88.781,88.181,88.532,89.142,89.830,90.177,90.317,90.490,91.070,91.835,92.738,93.167,93.475,94.094,94.321,94.595,95.126,95.459,95.508,95.901,96.254,96.696,97.129,97.394,97.265,96.829,97.312,97.565,97.490,97.538,98.157,98.496,98.947,99.524,99.724,100.076,100.676,101.380,101.912,102.254,102.642,102.877,103.422,103.674,104.080,104.416,103.962,104.819,105.343,106.578,108.208,109.705,111.514,113.590,115.577,116.905,118.098,119.309,120.044,120.912
3,"    Goods",22.699,22.917,23.267,23.880,24.223,24.482,24.859,24.673,24.368,24.091,23.812,23.671,23.544,23.674,24.257,24.768,25.777,25.998,25.962,26.273,26.336,26.184,26.281,26.212,26.190,26.114,26.110,26.117,26.235,26.134,25.948,25.816,25.853,25.830,25.916,25.922,25.995,26.188,26.473,26.623,26.860,27.065,27.276,27.371,27.819,27.833,27.762,27.631,27.815,27.849,27.936,28.010,27.970,28.110,28.150,28.256,28.291,28.174,28.246,28.198,28.282,28.347,28.392,28.470,28.503,28.506,28.679,28.747,28.883,28.874,28.928,28.997,29.061,29.230,29.302,29.303,29.570,29.784,29.972,30.145,30.121,30.192,30.514,30.749,31.033,31.296,31.585,31.902,32.124,32.510,32.875,33.181,33.501,33.775,34.010,34.389,34.571,34.900,35.091,35.191,35.548,35.661,35.936,36.186,36.764,37.611,38.326,39.179,40.723,42.077,43.384,44.652,45.308,45.655,46.522,47.153,47.384,47.541,48.127,48.811,49.583,50.284,50.807,51.429,52.130,53.234,54.105,55.035,56.365,57.988,59.493,60.944,63.127,64.658,65.977,67.321,68.985,69.843,70.530,71.122,71.526,71.678,72.415,72.504,72.510,73.228,73.734,73.852,74.445,74.625,74.787,75.016,75.494,75.864,75.922,76.386,76.136,75.051,75.400,75.660,76.976,77.738,78.413,78.843,78.959,79.626,80.506,81.100,81.963,83.388,83.406,83.753,85.291,85.615,86.824,88.398,88.344,88.518,88.680,89.046,89.150,89.528,89.985,90.205,90.367,90.446,90.344,90.827,90.731,91.048,91.886,92.002,92.111,92.300,92.325,92.347,92.962,93.372,93.196,93.610,93.719,93.213,92.950,92.826,92.105,91.739,91.713,91.549,91.457,92.114,92.571,92.889,93.612,94.047,94.297,94.400,94.394,94.547,94.070,93.061,92.650,93.301,93.285,93.250,93.771,92.478,92.917,92.847,93.606,94.133,94.205,95.300,95.127,95.473,97.058,97.156,97.075,97.818,98.387,96.696,97.374,98.432,98.643,99.857,100.885,102.142,103.855,99.216,97.466,98.547,99.760,100.565,100.710,100.118,100.092,101.211,102.789,104.520,104.878,105.112,105.765,105.424,105.410,105.883,105.756,104.787,104.911,104.741,104.896,105.002,104.791,103.479,101.343,101.871,101.612,100.573,99.518,99.960,99.566,99.797,100.331,99.712,99.744,100.213,100.748,101.012,100.840,100.644,100.239,100.661,100.339,100.469,100.178,98.701,99.694,100.009,101.367,103.467,105.394,108.062,111.150,113.794,114.613,114.637,114.838,114.905,115.144
4,"        Durable goods",51.892,52.369,52.662,53.348,53.756,54.461,56.356,56.459,56.269,55.900,55.220,55.154,54.986,55.408,56.176,57.103,59.215,59.609,59.632,60.207,60.618,59.904,60.524,59.103,59.678,59.746,59.363,59.479,59.953,58.447,57.489,57.154,57.510,57.792,58.342,58.497,58.720,58.846,59.697,60.476,60.962,61.805,61.799,61.919,63.020,62.766,62.701,62.478,63.568,63.811,63.800,63.772,63.679,63.603,63.408,63.297,63.308,63.607,63.897,63.818,63.826,63.909,64.119,63.867,63.888,64.083,64.264,64.466,64.559,64.522,64.452,64.324,64.335,64.134,63.814,63.462,63.378,63.650,63.932,64.224,64.091,64.372,65.082,65.739,66.166,66.569,67.123,67.736,68.131,68.642,68.970,69.395,69.514,69.787,70.301,71.470,72.482,72.998,72.835,72.461,73.086,73.461,73.836,73.599,73.904,74.486,74.853,75.092,75.924,77.846,80.812,83.339,84.645,86.167,87.112,88.451,89.646,90.641,91.738,93.290,94.247,94.727,95.711,96.992,98.382,99.882,101.500,103.276,104.953,106.800,108.026,109.973,113.197,115.869,117.981,120.003,121.527,123.818,125.649,127.285,128.355,129.354,129.816,130.192,131.121,131.608,132.328,133.151,133.190,134.017,134.283,134.530,135.215,135.529,135.299,135.649,135.680,136.305,137.443,138.221,139.386,140.478,141.483,142.059,141.812,142.597,143.612,144.680,145.413,145.530,145.858,146.336,147.115,147.129,147.194,147.491,148.753,149.127,149.680,150.001,149.995,150.404,150.528,150.763,150.687,151.481,152.219,153.224,153.578,154.494,155.583,155.849,156.472,156.301,155.798,155.452,155.569,154.543,154.140,153.473,152.882,151.408,150.393,149.555,148.455,147.348,146.222,145.134,143.914,143.198,142.538,141.691,141.032,140.734,139.872,139.535,138.909,137.923,137.012,136.336,135.141,134.462,133.791,132.901,131.193,129.766,128.454,127.280,127.170,127.063,126.092,126.265,125.992,125.814,124.905,124.615,124.091,123.514,122.964,122.179,121.543,120.962,120.129,119.625,119.289,118.511,118.130,117.287,116.657,116.352,115.460,115.854,115.227,114.202,113.355,113.000,113.014,113.299,113.118,112.662,112.507,111.846,111.203,110.823,110.545,109.812,109.213,108.637,107.705,106.981,106.597,105.803,105.048,105.107,104.470,103.841,103.336,103.017,101.963,101.031,100.952,100.353,99.481,99.213,99.091,98.844,98.363,98.235,98.319,97.983,97.483,96.930,96.655,95.919,96.973,97.583,97.843,101.192,103.555,105.859,108.055,108.433,109.221,108.776,108.533,108.559,107.340
5,"        Nondurable goods",14.928,15.074,15.346,15.810,16.070,16.230,16.388,16.218,15.971,15.766,15.587,15.469,15.371,15.442,15.885,16.249,16.935,17.088,17.052,17.268,17.285,17.220,17.250,17.322,17.247,17.174,17.210,17.205,17.262,17.319,17.250,17.169,17.169,17.120,17.137,17.126,17.167,17.327,17.493,17.546,17.708,17.804,17.994,18.066,18.353,18.388,18.333,18.239,18.295,18.300,18.379,18.448,18.422,18.554,18.609,18.714,18.742,18.611,18.646,18.611,18.684,18.733,18.751,18.849,18.876,18.857,18.996,19.034,19.148,19.144,19.202,19.280,19.339,19.521,19.628,19.673,19.937,20.105,20.246,20.373,20.368,20.400,20.614,20.752,20.967,21.166,21.369,21.592,21.753,22.056,22.364,22.602,22.893,23.118,23.274,23.481,23.520,23.765,23.973,24.126,24.389,24.446,24.662,24.946,25.479,26.247,26.914,27.741,29.172,30.238,31.089,31.971,32.426,32.543,33.268,33.696,33.739,33.737,34.156,34.599,35.232,35.878,36.251,36.675,37.164,38.056,38.681,39.343,40.441,41.813,43.168,44.337,46.043,47.168,48.167,49.209,50.663,51.165,51.568,51.908,52.150,52.146,52.819,52.849,52.702,53.362,53.764,53.740,54.365,54.399,54.522,54.720,55.102,55.441,55.553,55.991,55.710,54.380,54.521,54.640,55.859,56.473,57.010,57.367,57.553,58.132,58.899,59.332,60.145,61.731,61.679,61.965,63.532,63.895,65.238,66.928,66.596,66.706,66.767,67.104,67.220,67.555,68.041,68.239,68.442,68.354,68.071,68.391,68.197,68.344,69.051,69.123,69.101,69.359,69.507,69.617,70.305,71.040,70.934,71.592,71.877,71.658,71.613,71.689,71.116,70.976,71.262,71.375,71.618,72.655,73.435,74.098,75.232,75.888,76.486,76.732,76.935,77.458,77.138,76.038,75.902,76.996,77.211,77.483,78.778,77.561,78.635,78.975,80.048,80.804,81.267,82.705,82.569,83.113,85.673,85.920,86.010,87.266,88.273,86.235,87.435,89.145,89.771,91.671,93.228,95.272,97.784,91.740,89.589,91.160,93.147,94.102,94.539,94.119,94.410,96.098,98.284,100.577,101.147,101.661,102.648,102.445,102.697,103.534,103.473,102.402,102.847,102.858,103.498,103.981,103.852,102.303,99.522,100.271,100.192,98.955,97.636,98.442,98.368,99.175,100.015,99.387,99.875,100.723,101.600,102.132,102.121,101.889,101.228,102.047,101.820,102.315,102.013,100.156,101.118,101.260,103.274,104.605,106.272,109.152,112.765,116.744,117.583,117.887,118.353,118.444,119.571
6,"    Services",7.029,7.068,7.237,7.401,7.444,7.518,7.631,7.659,7.654,7.669,7.694,7.749,7.781,7.810,7.930,8.031,8.178,8.238,8.282,8.408,8.467,8.534,8.624,8.690,8.780,8.846,8.961,9.050,9.102,9.119,9.135,9.175,9.227,9.260,9.304,9.359,9.413,9.467,9.546,9.605,9.693,9.738,9.821,9.894,9.967,10.001,10.048,10.097,10.168,10.245,10.342,10.433,10.480,10.537,10.605,10.660,10.688,10.734,10.785,10.830,10.892,10.946,10.988,11.025,11.078,11.113,11.151,11.209,11.262,11.316,11.370,11.419,11.469,11.518,11.576,11.650,11.722,11.829,11.937,12.054,12.136,12.225,12.320,12.438,12.589,12.741,12.888,13.044,13.207,13.385,13.563,13.750,13.937,14.131,14.306,14.517,14.713,14.908,15.117,15.259,15.425,15.553,15.705,15.852,15.984,16.233,16.515,16.825,17.171,17.577,17.984,18.379,18.796,19.107,19.460,19.844,20.173,20.435,20.798,21.157,21.582,22.009,22.431,22.790,23.219,23.682,24.123,24.615,24.964,25.614,26.225,26.857,27.529,28.209,28.941,29.762,30.564,31.187,31.872,32.539,33.134,33.648,34.323,34.960,35.465,35.770,36.407,36.783,37.256,37.821,38.269,38.593,39.202,39.612,40.127,40.433,41.022,41.365,41.603,41.931,42.098,42.497,42.922,43.386,43.920,44.483,45.069,45.606,46.156,46.658,47.110,47.595,48.163,48.766,49.342,49.843,50.290,50.675,51.175,51.644,52.126,52.548,52.922,53.434,53.883,54.431,54.843,55.172,55.521,55.899,56.234,56.611,57.011,57.467,57.829,58.222,58.509,58.978,59.440,59.926,60.303,60.728,61.077,61.425,61.702,62.014,62.324,62.645,62.876,63.181,63.548,64.030,64.562,64.874,65.432,65.972,66.740,67.167,67.408,67.856,68.234,68.755,69.313,69.828,70.442,71.082,71.622,72.198,72.737,73.271,73.797,74.305,75.047,75.631,76.209,77.106,77.759,78.488,79.110,79.643,80.461,81.043,81.653,82.394,82.975,83.671,84.307,84.178,84.047,84.105,84.470,85.108,85.534,85.969,86.225,86.581,87.010,87.570,88.027,88.364,88.967,89.429,89.822,90.374,90.900,91.382,91.888,92.465,93.030,93.604,94.078,94.468,94.784,95.248,95.729,96.088,96.631,97.331,98.002,98.554,99.152,99.729,100.230,100.890,101.674,102.333,102.917,103.580,104.118,104.721,105.253,105.796,106.443,106.520,107.306,107.949,109.118,110.480,111.738,113.076,114.595,116.220,117.818,119.631,121.377,122.468,123.669
7,Gross private domestic investment,15.866,16.473,17.022,17.227,17.448,17.823,18.313,18.418,18.363,18.330,18.139,18.062,18.039,18.306,18.815,19.236,19.933,20.245,20.331,20.516,20.585,20.648,20.667,20.579,20.556,20.646,20.796,20.739,20.774,20.850,20.834,20.841,20.843,20.971,21.219,21.494,21.936,22.174,22.543,22.707,22.922,23.015,23.157,23.240,23.044,23.160,23.197,23.248,23.253,23.359,23.434,23.478,23.505,23.537,23.528,23.496,23.461,23.474,23.472,23.477,23.493,23.507,23.503,23.481,23.481,23.439,23.371,23.436,23.372,23.557,23.593,23.813,23.826,23.872,23.917,24.173,24.087,24.454,24.465,24.742,24.841,24.948,25.088,25.376,25.628,25.857,26.000,26.535,26.830,27.114,27.351,27.711,27.934,28.514,28.457,28.792,29.294,29.710,30.034,30.291,30.646,30.858,31.179,31.622,31.906,32.474,33.152,33.548,34.242,35.265,36.643,38.002,39.303,40.204,40.682,41.234,41.596,42.302,42.897,43.550,44.434,45.256,46.141,47.069,47.964,48.937,49.902,50.920,51.957,53.264,54.565,55.683,56.983,58.317,59.534,60.798,62.552,63.933,64.963,66.169,67.001,67.762,68.180,68.325,68.168,67.925,67.900,68.106,68.310,68.686,68.943,69.095,69.286,69.383,69.666,70.102,70.423,70.884,71.437,71.950,72.260,72.451,72.651,73.264,73.816,74.262,74.562,75.293,75.725,76.206,76.598,76.998,77.456,77.727,78.207,78.524,79.221,79.320,79.456,79.205,79.030,79.173,79.361,79.634,79.873,80.171,80.359,80.557,81.029,81.260,81.557,81.902,82.427,82.725,82.957,82.881,82.705,82.560,82.807,82.729,82.737,82.757,82.807,82.691,82.310,82.122,82.042,82.087,82.179,82.222,82.109,82.364,82.857,83.165,83.513,83.648,83.682,83.914,84.149,84.278,84.358,84.124,84.076,84.564,84.868,84.801,84.831,85.390,86.187,87.093,87.836,88.701,89.603,90.464,91.427,92.479,93.317,93.895,94.435,95.130,95.610,95.641,95.653,95.558,95.653,95.760,96.224,97.963,97.162,95.639,94.360,94.028,93.588,93.585,93.636,93.941,94.182,94.610,94.744,94.855,95.185,95.632,96.071,96.301,96.169,96.518,96.819,97.206,97.783,98.066,98.594,98.882,98.854,98.756,98.778,98.524,98.108,98.460,98.570,99.060,99.394,99.925,100.249,100.432,100.941,101.405,101.822,101.987,102.608,103.015,103.162,103.077,103.550,103.676,104.435,105.098,105.784,106.596,108.192,110.429,113.058,115.531,117.412,118.225,119.168,119.135,119.694
8,"    Fixed investment",14.837,15.396,15.781,16.105,16.265,16.620,17.124,17.309,17.278,17.254,17.067,17.005,17.002,17.276,17.760,18.093,18.691,18.973,19.121,19.316,19.404,19.491,19.527,19.492,19.516,19.627,19.781,19.735,19.750,19.823,19.821,19.837,19.850,19.981,20.221,20.481,20.901,21.128,21.479,21.638,21.844,21.942,22.090,22.181,22.005,22.102,22.137,22.178,22.209,22.304,22.374,22.414,22.446,22.485,22.480,22.447,22.404,22.421,22.414,22.416,22.433,22.453,22.447,22.425,22.429,22.396,22.327,22.387,22.322,22.516,22.548,22.774,22.788,22.832,22.880,23.134,23.035,23.414,23.416,23.691,23.785,23.901,24.054,24.341,24.600,24.834,24.983,25.520,25.813,26.091,26.329,26.672,26.887,27.465,27.407,27.728,28.210,28.607,28.940,29.205,29.565,29.764,30.057,30.482,30.789,31.333,31.994,32.422,33.059,34.009,35.304,36.683,37.937,38.831,39.293,39.874,40.259,40.958,41.533,42.182,43.066,43.869,44.844,45.809,46.681,47.644,48.574,49.544,50.576,51.864,53.112,54.186,55.445,56.721,57.948,59.188,60.750,62.092,63.126,64.390,65.271,66.054,66.458,66.637,66.449,66.266,66.286,66.429,66.572,66.897,67.165,67.380,67.618,67.746,68.061,68.496,68.850,69.372,69.952,70.402,70.668,70.829,71.036,71.711,72.338,72.802,73.172,73.863,74.276,74.756,75.132,75.547,76.005,76.304,76.770,77.181,77.824,77.964,78.042,77.792,77.674,77.824,78.011,78.285,78.549,78.816,78.966,79.212,79.650,79.910,80.257,80.580,81.085,81.385,81.635,81.615,81.501,81.359,81.582,81.549,81.563,81.623,81.739,81.637,81.336,81.168,81.119,81.161,81.267,81.333,81.235,81.498,82.013,82.348,82.709,82.875,82.907,83.161,83.358,83.399,83.318,83.400,83.333,83.762,84.078,84.005,84.039,84.608,85.376,86.287,87.020,87.885,88.813,89.675,90.688,91.715,92.571,93.146,93.638,94.355,94.835,94.894,94.862,94.836,95.028,95.156,95.768,96.680,95.998,94.734,93.736,93.509,93.015,92.933,92.927,93.230,93.497,93.973,94.145,94.347,94.803,95.082,95.468,95.612,95.641,95.946,96.248,96.805,97.457,97.659,98.187,98.388,98.628,98.599,98.649,98.454,98.116,98.435,98.570,99.077,99.410,99.914,100.259,100.417,100.948,101.451,101.839,102.035,102.601,103.035,103.223,103.196,103.580,103.970,104.490,105.128,105.893,106.931,108.780,111.043,113.617,116.210,118.075,119.114,120.358,120.344,120.926
9,"        Nonresidential",19.181,19.763,20.284,20.652,20.762,21.343,22.074,22.373,22.220,22.186,22.101,21.972,21.998,22.211,22.681,23.428,24.203,24.615,24.836,25.101,25.210,25.269,25.209,25.224,25.261,25.465,25.656,25.618,25.721,25.832,25.663,25.703,25.657,25.799,26.191,26.710,27.432,27.670,28.333,28.699,29.132,29.289,29.485,29.706,29.429,29.603,29.671,29.741,29.780,29.967,30.114,30.185,30.201,30.222,30.210,30.129,30.089,30.068,30.049,30.066,30.074,30.115,30.108,30.084,30.087,30.079,30.113,30.131,30.143,30.290,30.309,30.453,30.496,30.570,30.666,30.812,30.792,31.077,31.147,31.412,31.555,31.727,31.940,32.249,32.510,32.826,33.093,33.585,33.860,34.180,34.558,34.983,35.371,35.950,36.182,36.659,37.178,37.613,37.945,38.184,38.616,38.912,39.161,39.396,39.738,40.302,40.927,41.414,42.189,43.497,45.260,47.223,48.972,50.226,50.872,51.568,52.137,52.807,53.510,54.292,55.350,56.183,57.158,58.150,59.011,59.994,60.976,62.028,63.332,64.726,66.088,67.326,68.825,70.405,71.908,73.413,75.432,77.253,78.640,80.284,81.363,82.279,82.744,82.931,82.519,82.161,82.046,82.046,82.112,82.416,82.595,82.691,82.950,83.095,83.405,83.768,83.982,84.530,85.082,85.471,85.537,85.511,85.541,86.345,87.149,87.617,87.992,88.814,89.278,89.670,90.175,90.623,91.133,91.490,92.119,92.725,93.634,93.721,93.673,93.395,93.318,93.243,93.311,93.329,93.399,93.472,93.422,93.709,93.965,94.164,94.366,94.457,94.869,95.177,95.437,95.223,94.917,94.545,94.563,94.369,94.246,94.187,94.114,93.733,93.186,92.720,92.341,92.127,92.001,91.770,91.369,91.523,91.783,91.980,92.262,92.245,91.868,91.835,91.609,91.479,91.410,91.324,91.055,91.086,90.734,90.553,90.315,90.464,90.726,91.272,91.502,92.138,92.987,93.579,93.913,94.642,95.228,95.700,96.291,97.045,97.518,97.700,97.654,97.611,98.013,98.310,99.342,100.861,100.158,98.832,97.710,97.251,96.589,96.645,96.639,96.906,97.200,97.721,97.930,98.172,98.773,99.046,99.361,99.339,99.047,99.143,99.227,99.500,99.840,100.039,100.295,100.503,100.648,100.487,100.328,99.916,99.371,99.434,99.208,99.507,99.723,100.019,100.138,100.121,100.182,100.335,100.556,100.637,101.190,101.602,101.620,101.415,101.723,102.143,102.104,102.399,102.380,102.436,103.564,105.451,107.151,109.088,110.693,111.566,113.299,113.355,113.650
